tweet_num,manual_tag,text,time_period
1,0,"<at>grizzwaldz <at>CarTalkLaw <at>RadioActivityES Please find me one Canadian LP that does not irradiate their cannabis to prevent mold and other pathogens. I await any official statement from any LP you care to pass along. But as all of the ""legal"" LPs DO irradiate  I will be surprised.",5
2,0,Are you an accredited investor interested In the legal Canadian Cannabis sector? A storm has quietly been brewing #ipo Feb 2018 DM <at>mmjinvesting for the exclusive invitation #acmpr,5
3,0,question  will weed being legal in #Canada make it less paranoid inducing?,6
4,0,Why Bernie Sanders's marijuana announcement is a big political moment for pot https://t.co/OqCj7NKVxx #legalize #realmedicine,1
5,0,<at>CTVNews Funny how <at>JustinTrudeau said he would legalize weed but nothing has happend yet.,3
6,0,A novel idea: To legalize #marijuana  change the law https://t.co/ROavj95B8O via <at>usatoday,5
7,0,When people say #harper was the best prime minister ever. They do realize that pot is not legal yet. #highOnSomething #canpoli,2
8,1,<at>WhatTheFFacts This is not true! Our new government in #canada is pushing to legalize #marijuana very soon.,1
9,1,Drinking age is 19  weed is legal  the people are the nicest people on earth and it's gorgeous over here.,4
10,0,<at>_SoccerDad_ For sure! And on that subject police/crowns need to stop arresting/encaging ppl for marijuana  it's going to be legal. WHY?,1
11,-1,The pot in the 70's had 1% that sold now it's 15% or more. This #marijuana legalization upcoming in #Canada is rushed and bad news. https://t.co/Y33CuJb7A2,5
12,1,Stigmabase | NAM — Narcotics overdoses going down in states where marijuana is legal - Numerous studies have shown... https://t.co/8lsSAJh3Bi,5
13,0,With the release of Red Dead Redemption 2 and the legalization of cannabis in October  a good chunk of the population is going to get super unproductive for a couple of months.,6
14,0,"Trudeau's ""secret"" cash stash? Revenue from legal pot cd reach $5B/year  CIBC says How ""secret"" if spent on health? https://t.co/gSPJMHVtnW",1
15,0,<at>Civilized_Life Colds should get into the legal weed business.,5
16,0,That & he promised them legal pot & PR https://t.co/BICR9TvDNT,3
17,0,Legal recreational marijuana: what you need to know https://t.co/ECjg8t55F7,6
18,1,<at>JustinTrudeau : U.S.'s legal marijuana market could reach $21.8 billion in total sales by 2020 <at>FortuneMagazine https://t.co/SDBqikQj2R,1
19,1,Man  I can't wait for <at>MasterChefCDA once weed is legal. The judging round should be hilarious..,4
20,0,national seniors pension day check :package: box 217a federal income tax return to que oct16 for legal weed box 217b for legal oil box 217c to prompt the senate for unilateral seed exchange with holland box 227d for home grow regulations :moai:,6
21,1,Prohibition has been far more costly than what we will see with legalization. #cdnpoli #cannabis https://t.co/Z5UjC5cHq1,4
22,0,You know Big Pharma is lobbying hard to oppose legalization Are you in favor of legalization https://t.co/UBXe7fHeTX,1
23,1,it's official that weed is gonna be legal in mtl by august 2018 :),4
24,0,Hazy rules about where you'll be able to light up when marijuana becomes legal: Federally owned Confederation Park may be ok  but not across the street at City Hall. #ottnews https://t.co/roonCtmd3T,6
25,0,I wonder how many potheads will be arrested right now thinking that pot automatically became legal this morning,1
26,-1,<at>NDP_HQ <at>HuffPostCanada Simply decriminalized pot in the first step than look at legalization in step 2,2
27,0,For Trudeau  Legalizing Marijuana Won't Be As Easy He Thinks: Colorado Regulator https://t.co/3a0kM2iWDE via <at>NewsRepublic,1
28,0,Marijuana legalization is the focus for today's #YourTake segment  and <at>brandongonez wants to know what YOU think! Join the conversation below! https://t.co/5LwsWVSaqQ,6
29,1,Stigmabase | NAM — Narcotics overdoses going down in states where marijuana is legal - Numerous studies have shown... https://t.co/tRs7akuKSu,5
30,0,Hey <at>Kathleen_Wynne did you see what Manitoba is doing with legal pot? Maybe you should take a few notes. #LegalizeCannabis,5
31,0,LIVE: Premier Brian Pallister is scheduled to clear the haze around legalized pot sales shortly https://t.co/99TqR796wB,5
32,0,<at>Freethinker119 <at>SpotShopMedia <at>jimsarty <at>JustinTrudeau ok thats fine  but that really has nothing to do with pot legalization,4
33,1,"...so  if Shoppers Drug Mart is gonna sell Marijuana ""in the interest of contributing to healthier communities"" - why plain packaging  Trudeau Fear-Mongering  limited plant counts  exclusion of existing dispensaries  & HEAVY criminalization of LEGAL CANNABIS? #cdnpoli https://t.co/iN1l2ZHTFY",5
34,1,Encouraging to see Canada learning from our friends in Colorado ahead of national legalization of #cannabis. https://t.co/ouWzHggTzU,3
35,-1,<at>Lewis_Medeiros oh shit my bad  sorry  i thought we were talking about something ele. See this is why weed shouldn't be legal,2
36,1,"Jen <at>8_oz_coffee is gearing up for legalization of cannabis. ""The people who sold to the gold miners made all the money"" #FGCYYC Wants to capitalize by selling the right equipment https://t.co/wkDfRTjEKt",5
37,0,#WeedNews: You may have to wait longer for if you'd like to enjoy a legal pot brownie. - <at>ClintonOnAir https://t.co/e7TTKmpCoX,5
38,1,Police priorities over the next year include a marijuana legalization strategy  among many others https://t.co/xNPajSk0SL,3
39,1,Scroll down for interview on Alberta Government consideration for legalization and distribution. https://t.co/4J250ZKfTP,5
40,0,Once Cannabis becomes legal the best way to enjoy it descretely is with a high-eficiency vaporizer such as the Quant  the one I use for medicinal purposes  as per my Doctor. #PTSD <at>QuantVapor https://t.co/0FsMMJPDkl,6
41,1,Hey <at>JustinTrudeau   can you guys stop dicking around and legalize the fucking weed already. You can discuss who gets what money later.,3
42,0,"Jay points out that this whole legalization ""thing"" is a transformational process Not everybody is going to run out an empty store shelves. Be patient  it will come together. <at>CannCanForums #CannabisCON <at>davidhyde2 #cannabisretail #acmpr #cannabis",6
43,0,<at>eye_on_CBs Minimum age for legal marijuana should be 25  according to Ottawa Public Health https://t.co/yXe3WSf650,3
44,1,Is it the day that weed is legal yet?,6
45,0,Would be funny if Bernie took out a joint and smoked it as he discussed whether to legalize pot #DemDebate,1
46,0,"Went to go hand in my paper and she says ""legalization of marijuana? Should've put some seeds in here. That'd be an A+ for sure"" :face_with_tears_of_joy::face_with_tears_of_joy::sign_of_the_horns_light_skin_tone:",3
47,0,Now that weed is legal here in Canada I expect to see ya'll passport myself at the border. Ain't no free entrance here randy :Canada: :nerd_face:,6
48,0,Interesting to see what issues around #cannabis the public/media are picking up on now that #BillC45 has passed. Postage Stamp Pricing would have been terribly difficult & probably undesirable. Canadians should expect some price variations for marijuana: https://t.co/xhAzc4mB9s,6
49,0,So when marijuana becomes legal to use how many are gonna try it? How many are gonna go back to it? How many will just keep in smokin it? How many will but it legally?,6
50,1,https://t.co/uGvdPZiKvd Canada Will Begin Marijuana Legalization In Spring 2017 #MMAR #MMPR #MedicalCannabis https://t.co/M9Tna5932S,2
51,0,Joint survey probes #marijuana thoughts #legalization #Canada https://t.co/FauCIKQy7G https://t.co/W5K0d93Q2j,2
52,-1,My grandparents and I are having an argument over the legalization of weed rn,4
53,0,What a contemptible waste of resources. An assault on the community and justice. Legalization and regulation! https://t.co/H3s73PV0Of,1
54,0,<at>BeauKilmer asks an often overlooked question: is potential increased use of legal #cannabis necessarily a bad thing? #drugpolicy https://t.co/rsdD8N3N18,3
55,-1,Why legalize #cannabis? Talking about the drivers and impact on the workplace at... https://t.co/uGwJVAs0VS,5
56,0,<at>liberal_party <at>JustinTrudeau <at>Puglaas decriminalization of marijuana before full legalization makes sense and will protect Canadians,2
57,0,#MJNeuroSummit Alcohol is legal  Cannabis is not. is this accounted for re the likely hood of cannabis use vs alcohol use first.,1
58,0,What will pot legalization mean for road safety? That discussion in a few mins. Listen live: https://t.co/NFLLg1zNql https://t.co/wh9ywdJP8H,4
59,0,Reports on one of the fastest growing markets in the US https://t.co/GN9vhxVv5D,1
60,0,Legalization of marijuana in B.C. is a federal issue  says premier: B.C. Premier Christy Clark spoke to the media... https://t.co/nsAcySLgqj,1
61,-1,<at>1Teamstar <at>MamaMadisons <at>KevinBFoster <at>themadsloth <at>nanamare53 that won't be easy/have 2 break a few treaties to legalize pot,2
62,1,United they stand for the legalization of #marijuana from lawn to lawn from here to there.... https://t.co/ebC9TCXBTw,3
63,1,My wife thinks pot should be legal in Ontario to anyone who has received their Ontario Secondary School Diploma.,1
64,1,<at>nickolaslangley <at>laragraychan <at>mamahibou <at>mikebtweet <at>the_bird_roads <at>GMA We have no guns (well few) and fully legal pot coming in October. So we'll spend very little on policing  prisons and such.,6
65,0,Canada's medical #marijuana industry braces for legalization if Liberals win election: http://t.co/Th7Fb48kgj #420 http://t.co/oHdxEa8GY2,1
66,1,<at>FrankPVaughan Me neither...I can't believe they won't support legal pot...they must have a death wish for 2019..I mean  how dumb can you be?,4
67,0,NAM — Legal cannabis laws impact teen use https://t.co/wWfRHlNPFE,4
68,-1,<at>ACarterglobal do u think it's wise for the government to be busy in making marijuana legal and not doing enough for the overdose happening?,4
69,1,<at>Bill_Owen Legal marijuana is an easy argument to make compared to heroin. But all drugs need to be decriminalized. https://t.co/jU0ghHafDW,2
70,0,Another bootlicker mother fucker running to make money off of the substance he fought to criminalize and throw people behind bars for consuming. I don't believe in karma but I hope he gets a taste of the terrible shit he put others through. #cdnpoli #cannabis #legalization #pot https://t.co/YWPq9cToRb,6
71,1,Canada's new GQ Prime Minister to legalize pot. This is a real headline. #goodtobeacanadian,2
72,1,<at>injured420 <at>julie1eiluj <at>TheDailyDopeShw <at>SnoopyyH1 <at>7redwings <at>JustinTrudeau I'm genuinely not sure what you're trying to say. Also  where are these legal cannabis clinics? For the fifth time  in for legalization. Your zealotry is forcing you to have an unnecessary argument.,5
73,0,<at>abcnewsMelb Medicinal cannabis in capsule form in Canada  where it's already legal https://t.co/OCDWYnF0ZR,2
